Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,DBSCAN_Cluster
60,9,3759.26,3,5,5,355,Regular Customers,0,0
15,2,1933.2,5,2,4,524,Potential Loyalist,0,0
30,1,349.83000000000004,4,1,2,412,Potential Loyalist,0,0
628,2,1367.89,1,2,4,124,At Risk,1,0
131,1,1089.18,3,1,3,313,Regular Customers,0,0
92,2,716.35,3,2,3,323,Regular Customers,0,0
43,3,12601.830000000002,4,3,5,435,Potential Loyalist,0,0
409,1,732.94,2,1,3,213,At Risk,1,0
29,2,640.45,4,2,3,423,Potential Loyalist,0,0
22,7,11214.75,4,4,5,445,Loyal Customers,0,0
20,33,22254.49,4,5,5,455,Loyal Customers,0,0
30,3,981.18,4,3,3,433,Potential Loyalist,0,0
484,2,481.88,1,2,2,122,At Risk,1,0
448,1,980.25,1,1,3,113,At Risk,1,0
36,1,372.7,4,1,2,412,Potential Loyalist,0,0
75,2,1000.39,3,2,3,323,Regular Customers,0,0
47,2,1161.5,4,2,3,423,Potential Loyalist,0,0
198,3,383.58,2,3,2,232,At Risk,0,0
166,1,95.19999999999999,3,1,1,311,Regular Customers,0,0
576,6,1575.68,1,4,4,144,At Risk,1,0
79,1,964.83,3,1,3,313,Regular Customers,0,0
358,1,168.0,2,1,1,211,At Risk,1,0
39,2,437.82,4,2,2,422,Potential Loyalist,0,0
8,12,4608.75,5,5,5,555,Champions,0,0
449,1,468.5,1,1,2,112,At Risk,1,0
682,1,129.23,1,1,1,111,At Risk,1,0
50,2,599.56,4,2,2,422,Potential Loyalist,0,0
16,8,18096.14,5,4,5,545,Loyal Customers,0,0
8,1,269.96,5,1,1,511,Potential Loyalist,0,0
311,2,561.71,2,2,2,222,At Risk,1,0
5,3,2134.01,5,3,4,534,Potential Loyalist,0,0
303,1,238.85,2,1,1,211,At Risk,1,0
8,9,4966.92,5,5,5,555,Champions,0,0
409,1,249.24,2,1,1,211,At Risk,1,0
261,1,456.9,2,1,2,212,At Risk,1,0
289,1,145.92,2,1,1,211,At Risk,1,0
86,1,351.65,3,1,2,312,Regular Customers,0,0
23,15,11767.48,4,5,5,455,Loyal Customers,0,0
645,1,70.0,1,1,1,111,At Risk,1,0
2,32,4124.69,5,5,5,555,Champions,0,0
682,1,77.52,1,1,1,111,At Risk,1,0
40,2,519.61,4,2,2,422,Potential Loyalist,0,0
9,2,1020.42,5,2,3,523,Potential Loyalist,0,0
227,5,717.41,2,4,3,243,At Risk,0,0
316,1,218.45,2,1,1,211,At Risk,1,0
457,2,622.8199999999999,1,2,3,123,At Risk,1,0
36,8,2142.72,4,4,4,444,Loyal Customers,0,0
35,8,1617.1,4,4,4,444,Loyal Customers,0,0
21,4,4642.45,4,3,5,435,Potential Loyalist,0,0
78,1,440.42,3,1,2,312,Regular Customers,0,0
247,2,1052.9,2,2,3,223,At Risk,0,0
40,1,197.71,4,1,1,411,Potential Loyalist,0,0
239,4,1980.4,2,3,4,234,At Risk,0,0
3,27,13591.58,5,5,5,555,Champions,0,0
4,9,2338.15,5,5,4,554,Loyal Customers,0,0
234,2,2040.1,2,2,4,224,At Risk,0,0
17,4,2062.67,5,3,4,534,Potential Loyalist,0,0
8,1,144.0,5,1,1,511,Potential Loyalist,0,0
39,4,958.78,4,3,3,433,Potential Loyalist,0,0
29,8,4695.66,4,4,5,445,Loyal Customers,0,0
211,2,9864.26,2,2,5,225,At Risk,0,0
317,3,1338.95,2,3,4,234,At Risk,1,0
92,5,2582.66,3,4,4,344,Regular Customers,0,0
109,3,418.09999999999997,3,3,2,332,Regular Customers,0,0
38,15,5090.110000000001,4,5,5,455,Loyal Customers,0,0
505,1,299.02,1,1,2,112,At Risk,1,0
51,2,618.27,4,2,3,423,Potential Loyalist,0,0
19,4,3811.22,5,3,5,535,Potential Loyalist,0,0
10,11,4534.09,5,5,5,555,Champions,0,0
29,13,2296.72,4,5,4,454,Loyal Customers,0,0
29,21,4967.42,4,5,5,455,Loyal Customers,0,0
190,6,681.26,2,4,3,243,At Risk,0,0
59,1,153.12,4,1,1,411,Potential Loyalist,0,0
22,1,739.1999999999999,4,1,3,413,Potential Loyalist,0,0
79,2,254.18,3,2,1,321,Regular Customers,0,0
376,4,1232.95,2,3,4,234,At Risk,1,0
682,1,21.0,1,1,1,111,At Risk,1,0
60,1,1579.51,3,1,4,314,Regular Customers,0,0
405,1,415.79,2,1,2,212,At Risk,1,0
78,9,3435.86,3,5,5,355,Regular Customers,0,0
23,5,2099.54,4,4,4,444,Loyal Customers,0,0
52,1,1193.32,4,1,3,413,Potential Loyalist,0,0
74,1,704.0400000000001,3,1,3,313,Regular Customers,0,0
57,10,6817.37,4,5,5,455,Loyal Customers,0,0
278,1,315.6,2,1,2,212,At Risk,1,0
2,8,5740.98,5,4,5,545,Loyal Customers,0,0
95,3,1131.1,3,3,3,333,Regular Customers,0,0
29,1,352.98,4,1,2,412,Potential Loyalist,0,0
22,1,177.31,4,1,1,411,Potential Loyalist,0,0
16,10,3781.38,5,5,5,555,Champions,0,0
15,3,1339.41,5,3,4,534,Potential Loyalist,0,0
2,35,24311.2,5,5,5,555,Champions,0,0
232,1,180.1,2,1,1,211,At Risk,0,0
276,7,3747.84,2,4,5,245,At Risk,1,0
106,2,641.13,3,2,3,323,Regular Customers,0,0
212,4,5164.88,2,3,5,235,At Risk,0,0
23,9,6620.48,4,5,5,455,Loyal Customers,0,0
11,7,4478.53,5,4,5,545,Loyal Customers,0,0
4,3,786.46,5,3,3,533,Potential Loyalist,0,0
386,2,1558.22,2,2,4,224,At Risk,1,0
10,2,1270.88,5,2,4,524,Potential Loyalist,0,0
57,6,3481.57,4,4,5,445,Loyal Customers,0,0
521,2,804.88,1,2,3,123,At Risk,1,0
59,7,5678.16,4,4,5,445,Loyal Customers,0,0
536,2,490.0,1,2,2,122,At Risk,1,0
90,4,2930.41,3,3,5,335,Regular Customers,0,0
739,1,141.0,1,1,1,111,At Risk,1,0
67,12,8283.81,3,5,5,355,Regular Customers,0,0
33,2,921.49,4,2,3,423,Potential Loyalist,0,0
239,3,1312.37,2,3,4,234,At Risk,0,0
24,3,1174.58,4,3,3,433,Potential Loyalist,0,0
115,1,185.9,3,1,1,311,Regular Customers,0,0
25,3,1013.26,4,3,3,433,Potential Loyalist,0,0
128,12,8304.82,3,5,5,355,Regular Customers,0,0
130,4,1918.49,3,3,4,334,Regular Customers,0,0
34,8,3539.3,4,4,5,445,Loyal Customers,0,0
5,2,1346.97,5,2,4,524,Potential Loyalist,0,0
22,36,16955.55,4,5,5,455,Loyal Customers,0,0
155,4,1112.0,3,3,3,333,Regular Customers,0,0
107,8,2294.65,3,4,4,344,Regular Customers,0,0
3,1,314.44,5,1,2,512,Potential Loyalist,0,0
335,4,377.75,2,3,2,232,At Risk,1,0
331,2,1017.03,2,2,3,223,At Risk,1,0
149,3,4160.83,3,3,5,335,Regular Customers,0,0
11,5,601.98,5,4,2,542,Loyal Customers,0,0
424,1,261.35,1,1,1,111,At Risk,1,0
17,8,6407.83,5,4,5,545,Loyal Customers,0,0
11,4,1643.18,5,3,4,534,Potential Loyalist,0,0
19,1,686.05,5,1,3,513,Potential Loyalist,0,0
30,1,91.68,4,1,1,411,Potential Loyalist,0,0
11,1,245.1,5,1,1,511,Potential Loyalist,0,0
436,1,162.0,1,1,1,111,At Risk,1,0
1,20,6726.54,5,5,5,555,Champions,0,0
625,2,239.4,1,2,1,121,At Risk,1,0
8,11,6070.04,5,5,5,555,Champions,0,0
325,3,313.6,2,3,2,232,At Risk,1,0
394,1,1248.42,2,1,4,214,At Risk,1,0
58,1,620.13,4,1,3,413,Potential Loyalist,0,0
12,10,11383.03,5,5,5,555,Champions,0,0
151,3,2744.0299999999997,3,3,4,334,Regular Customers,0,0
10,7,3760.29,5,4,5,545,Loyal Customers,0,0
606,1,2622.481,1,1,4,114,At Risk,1,0
330,2,437.05,2,2,2,222,At Risk,1,0
5,3,1230.02,5,3,4,534,Potential Loyalist,0,0
39,4,1970.6,4,3,4,434,Potential Loyalist,0,0
554,2,957.25,1,2,3,123,At Risk,1,0
25,11,2843.09,4,5,4,454,Loyal Customers,0,0
555,2,395.1,1,2,2,122,At Risk,1,0
42,21,34281.18,4,5,5,455,Loyal Customers,0,0
59,4,1113.02,4,3,3,433,Potential Loyalist,0,0
1,4,880.81,5,3,3,533,Potential Loyalist,0,0
15,45,29834.76,5,5,5,555,Champions,0,0
4,52,22950.22,5,5,5,555,Champions,0,0
4,21,11633.7,5,5,5,555,Champions,0,0
8,7,2283.63,5,4,4,544,Loyal Customers,0,0
28,6,2863.08,4,4,4,444,Loyal Customers,0,0
372,1,89.14,2,1,1,211,At Risk,1,0
481,2,2138.91,1,2,4,124,At Risk,1,0
114,1,4873.8099999999995,3,1,5,315,Regular Customers,0,0
26,2,1247.61,4,2,4,424,Potential Loyalist,0,0
206,1,389.01,2,1,2,212,At Risk,0,0
28,7,1170.4,4,4,3,443,Loyal Customers,0,0
637,1,110.95,1,1,1,111,At Risk,1,0
127,7,1703.02,3,4,4,344,Regular Customers,0,0
70,3,1843.35,3,3,4,334,Regular Customers,0,0
7,7,1407.1200000000001,5,4,4,544,Loyal Customers,0,0
435,2,851.91,1,2,3,123,At Risk,1,0
29,3,957.59,4,3,3,433,Potential Loyalist,0,0
590,1,339.75,1,1,2,112,At Risk,1,0
418,1,638.11,1,1,3,113,At Risk,1,0
8,4,4939.99,5,3,5,535,Potential Loyalist,0,0
80,6,2446.41,3,4,4,344,Regular Customers,0,0
20,1,219.0,4,1,1,411,Potential Loyalist,0,0
71,4,1006.53,3,3,3,333,Regular Customers,0,0
7,8,2340.84,5,4,4,544,Loyal Customers,0,0
15,14,11762.1,5,5,5,555,Champions,0,0
292,1,603.42,2,1,2,212,At Risk,1,0
30,18,5117.66,4,5,5,455,Loyal Customers,0,0
15,34,30291.76,5,5,5,555,Champions,0,0
97,3,1149.02,3,3,3,333,Regular Customers,0,0
612,2,1339.05,1,2,4,124,At Risk,1,0
29,21,6723.03,4,5,5,455,Loyal Customers,0,0
1,1,848.55,5,1,3,513,Potential Loyalist,0,0
9,12,14093.71,5,5,5,555,Champions,0,0
106,1,343.36,3,1,2,312,Regular Customers,0,0
4,2,1053.49,5,2,3,523,Potential Loyalist,0,0
151,3,1308.91,3,3,4,334,Regular Customers,0,0
71,1,238.25,3,1,1,311,Regular Customers,0,0
5,2,644.95,5,2,3,523,Potential Loyalist,0,0
3,30,7787.28,5,5,5,555,Champions,0,0
32,8,4013.08,4,4,5,445,Loyal Customers,0,0
85,4,997.63,3,3,3,333,Regular Customers,0,0
4,5,725.07,5,4,3,543,Loyal Customers,0,0
5,7,2317.52,5,4,4,544,Loyal Customers,0,0
371,4,2266.76,2,3,4,234,At Risk,1,0
28,11,4014.6,4,5,5,455,Loyal Customers,0,0
11,10,5679.53,5,5,5,555,Champions,0,0
71,5,1070.17,3,4,3,343,Regular Customers,0,0
114,1,453.01,3,1,2,312,Regular Customers,0,0
522,1,829.25,1,1,3,113,At Risk,1,0
24,17,25775.71,4,5,5,455,Loyal Customers,0,0
180,1,236.26000000000002,3,1,1,311,Regular Customers,0,0
234,4,2424.87,2,3,4,234,At Risk,0,0
353,3,639.65,2,3,3,233,At Risk,1,0
315,2,779.5699999999999,2,2,3,223,At Risk,1,0
333,1,234.0,2,1,1,211,At Risk,1,0
499,2,3710.5,1,2,5,125,At Risk,1,0
372,1,155.35,2,1,1,211,At Risk,1,0
78,4,2726.73,3,3,4,334,Regular Customers,0,0
64,1,427.6,3,1,2,312,Regular Customers,0,0
529,2,406.07,1,2,2,122,At Risk,1,0
626,1,1201.52,1,1,3,113,At Risk,1,0
134,2,540.13,3,2,2,322,Regular Customers,0,0
52,11,25317.06,4,5,5,455,Loyal Customers,0,0
487,3,925.41,1,3,3,133,At Risk,1,0
541,1,254.55,1,1,1,111,At Risk,1,0
2,26,8898.48,5,5,5,555,Champions,0,0
1,336,53539.64,5,5,5,555,Champions,3,-1
4,9,6897.36,5,5,5,555,Champions,0,0
129,1,275.88,3,1,1,311,Regular Customers,0,0
445,1,268.27,1,1,1,111,At Risk,1,0
81,1,4366.78,3,1,5,315,Regular Customers,0,0
23,6,21429.39,4,4,5,445,Loyal Customers,0,0
236,3,3010.74,2,3,5,235,At Risk,0,0
281,11,5236.259999999999,2,5,5,255,At Risk,0,0
87,1,112.07999999999998,3,1,1,311,Regular Customers,0,0
16,13,7834.650000000001,5,5,5,555,Champions,0,0
117,7,9903.24,3,4,5,345,Regular Customers,0,0
52,8,5020.74,4,4,5,445,Loyal Customers,0,0
456,1,347.8,1,1,2,112,At Risk,1,0
458,2,782.95,1,2,3,123,At Risk,1,0
8,2,1898.52,5,2,4,524,Potential Loyalist,0,0
138,2,494.08,3,2,2,322,Regular Customers,0,0
317,1,1693.88,2,1,4,214,At Risk,1,0
472,6,1404.58,1,4,4,144,At Risk,1,0
4,9,8918.99,5,5,5,555,Champions,0,0
376,1,949.82,2,1,3,213,At Risk,1,0
451,1,168.69000000000003,1,1,1,111,At Risk,1,0
239,1,1143.6,2,1,3,213,At Risk,0,0
211,2,3246.45,2,2,5,225,At Risk,0,0
486,1,282.3,1,1,1,111,At Risk,1,0
60,1,892.47,3,1,3,313,Regular Customers,0,0
564,1,124.25,1,1,1,111,At Risk,1,0
536,1,98.7,1,1,1,111,At Risk,1,0
17,7,1686.12,5,4,4,544,Loyal Customers,0,0
668,1,55.5,1,1,1,111,At Risk,1,0
458,1,519.45,1,1,2,112,At Risk,1,0
20,9,1775.68,4,5,4,454,Loyal Customers,0,0
38,14,6474.11,4,5,5,455,Loyal Customers,0,0
599,1,337.4,1,1,2,112,At Risk,1,0
64,2,826.74,3,2,3,323,Regular Customers,0,0
5,11,4618.24,5,5,5,555,Champions,0,0
2,6,2225.91,5,4,4,544,Loyal Customers,0,0
9,3,1763.15,5,3,4,534,Potential Loyalist,0,0
364,3,1100.4,2,3,3,233,At Risk,1,0
610,1,728.5,1,1,3,113,At Risk,1,0
10,4,862.18,5,3,3,533,Potential Loyalist,0,0
463,4,444.9,1,3,2,132,At Risk,1,0
65,3,273.35,3,3,1,331,Regular Customers,0,0
192,2,591.85,2,2,2,222,At Risk,0,0
374,6,863.51,2,4,3,243,At Risk,1,0
257,2,827.01,2,2,3,223,At Risk,1,0
335,3,885.53,2,3,3,233,At Risk,1,0
53,2,860.41,4,2,3,423,Potential Loyalist,0,0
19,1,430.48,5,1,2,512,Potential Loyalist,0,0
628,1,381.0,1,1,2,112,At Risk,1,0
366,2,552.08,2,2,2,222,At Risk,1,0
10,4,8510.93,5,3,5,535,Potential Loyalist,0,0
529,1,219.35,1,1,1,111,At Risk,1,0
470,3,584.25,1,3,2,132,At Risk,1,0
501,1,1071.82,1,1,3,113,At Risk,1,0
187,7,2416.42,3,4,4,344,Regular Customers,0,0
393,1,1092.81,2,1,3,213,At Risk,1,0
466,2,325.37,1,2,2,122,At Risk,1,0
382,4,1434.95,2,3,4,234,At Risk,1,0
435,4,2878.96,1,3,4,134,At Risk,1,0
383,1,330.35,2,1,2,212,At Risk,1,0
37,5,776.7,4,4,3,443,Loyal Customers,0,0
178,3,1755.94,3,3,4,334,Regular Customers,0,0
535,2,534.99,1,2,2,122,At Risk,1,0
261,5,1033.9,2,4,3,243,At Risk,0,0
45,1,229.64000000000001,4,1,1,411,Potential Loyalist,0,0
502,3,1687.8,1,3,4,134,At Risk,1,0
102,1,125.92,3,1,1,311,Regular Customers,0,0
148,2,1063.46,3,2,3,323,Regular Customers,0,0
96,2,572.2,3,2,2,322,Regular Customers,0,0
281,3,690.98,2,3,3,233,At Risk,1,0
262,1,1542.08,2,1,4,214,At Risk,1,0
458,1,540.52,1,1,2,112,At Risk,1,0
3,11,2689.52,5,5,4,554,Loyal Customers,0,0
214,2,220.8,2,2,1,221,At Risk,0,0
71,2,948.88,3,2,3,323,Regular Customers,0,0
75,18,6501.5,3,5,5,355,Regular Customers,0,0
60,1,397.12,3,1,2,312,Regular Customers,0,0
521,2,518.63,1,2,2,122,At Risk,1,0
3,12,2800.75,5,5,4,554,Loyal Customers,0,0
6,3,430.15000000000003,5,3,2,532,Potential Loyalist,0,0
3,6,1018.71,5,4,3,543,Loyal Customers,0,0
337,3,385.3,2,3,2,232,At Risk,1,0
38,6,6814.64,4,4,5,445,Loyal Customers,0,0
262,3,451.11,2,3,2,232,At Risk,1,0
32,2,383.03,4,2,2,422,Potential Loyalist,0,0
145,1,417.38,3,1,2,312,Regular Customers,0,0
283,1,312.38,2,1,2,212,At Risk,1,0
428,41,5996.83,1,5,5,155,At Risk,1,-1
59,15,6559.7300000000005,4,5,5,455,Loyal Customers,0,0
173,2,662.66,3,2,3,323,Regular Customers,0,0
34,10,2975.91,4,5,5,455,Loyal Customers,0,0
3,26,9669.12,5,5,5,555,Champions,0,0
144,7,4041.97,3,4,5,345,Regular Customers,0,0
5,40,6958.2,5,5,5,555,Champions,0,0
70,4,1917.99,3,3,4,334,Regular Customers,0,0
66,30,6583.36,3,5,5,355,Regular Customers,0,0
29,4,648.6,4,3,3,433,Potential Loyalist,0,0
267,4,354.09,2,3,2,232,At Risk,1,0
682,1,15.58,1,1,1,111,At Risk,1,0
22,2,1609.0,4,2,4,424,Potential Loyalist,0,0
676,1,208.0,1,1,1,111,At Risk,1,0
31,6,3042.47,4,4,5,445,Loyal Customers,0,0
446,1,330.0,1,1,2,112,At Risk,1,0
97,2,280.76,3,2,1,321,Regular Customers,0,0
295,1,311.55,2,1,2,212,At Risk,1,0
135,11,3907.5,3,5,5,355,Regular Customers,0,0
