StockCode,Description,TotalSales,AvgDailySales,Revenue,CurrentStock,LeadTime,SafetyStock,ReorderPoint,Status,ReorderQty
17181,CIRCLE OF FRIENDS CANDLE HOLDER,294,9.8,341.7,209,8,69.0,147.0,Healthy,0.0
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,11335,213.8679245283019,1017.18,232,3,1497.0,2139.0,Reorder,1907.0
18010,ASSORTED FRAGRANCE BATH CONFETTI,56,9.333333333333334,23.52,227,3,65.0,93.0,Overstock,0.0
20615,BLUE POLKADOT PASSPORT COVER,236,5.9,243.84,256,11,41.0,106.0,Overstock,0.0
20615,BLUE SPOTTY PASSPORT COVER,222,5.6923076923076925,341.20000000000005,72,12,40.0,108.0,Reorder,36.0
20616,CHERRY BLOSSOM PASSPORT COVER,188,4.2727272727272725,236.18,299,8,30.0,64.0,Overstock,0.0
20617,FIRST CLASS PASSPORT COVER ,452,6.108108108108108,863.8800000000001,236,12,43.0,116.0,Overstock,0.0
20618,QUEEN OF THE SKIES PASSPORT COVER ,193,2.608108108108108,400.38000000000005,271,10,18.0,44.0,Overstock,0.0
20619,TROPICAL PASSPORT COVER ,373,5.485294117647059,566.33,207,9,38.0,87.0,Overstock,0.0
20620,RED SPOTTY PASSPORT COVER,1,1.0,2.1,60,14,7.0,21.0,Overstock,0.0
20621,ECONOMY PASSPORT COVER ,199,6.862068965517241,417.90000000000003,176,8,48.0,103.0,Healthy,0.0
20622,VIP PASSPORT COVER ,35,3.1818181818181817,73.5,34,6,22.0,41.0,Reorder,7.0
20622,VIPPASSPORT COVER ,488,6.873239436619718,840.6800000000001,84,9,48.0,110.0,Reorder,26.0
20652,BLUE POLKADOT LUGGAGE TAG ,159,3.533333333333333,206.01,28,11,25.0,64.0,Reorder,36.0
20652,BLUE SPOTTY LUGGAGE TAG ,1056,23.466666666666665,486.0,148,13,164.0,469.0,Reorder,321.0
20653,CHERRY BLOSSOM LUGGAGE TAG,1927,62.16129032258065,428.89,155,12,435.0,1181.0,Reorder,1026.0
20654,FIRST CLASS LUGGAGE TAG ,339,3.988235294117647,414.63,82,12,28.0,76.0,Healthy,0.0
20655,QUEEN OF SKIES LUGGAGE TAG,264,2.8085106382978724,321.02,158,9,20.0,45.0,Overstock,0.0
20657,TROPICAL LUGGAGE TAG,1692,23.830985915492956,534.14,100,3,167.0,238.0,Reorder,138.0
20658,RED RETROSPOT LUGGAGE TAG,457,4.480392156862745,571.25,182,12,31.0,85.0,Overstock,0.0
20658,RED SPOTTY LUGGAGE TAG,876,6.9523809523809526,1090.44,280,11,49.0,125.0,Overstock,0.0
20659,ECONOMY LUGGAGE TAG,287,3.1538461538461537,380.81,250,6,22.0,41.0,Overstock,0.0
20660,VIP LUGGAGE TAG ,71,2.6296296296296298,88.75,60,5,18.0,31.0,Healthy,0.0
20661,BLUE POLKADOT PURSE ,354,29.5,218.82000000000002,47,6,206.0,383.0,Reorder,336.0
20661,BLUE SPOTTY PURSE ,433,13.96774193548387,443.3500000000001,154,6,98.0,182.0,Reorder,28.0
20662,FIRST CLASS HOLIDAY PURSE ,697,27.88,394.27000000000004,220,12,195.0,530.0,Reorder,310.0
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,1037,69.13333333333334,277.19,287,13,484.0,1383.0,Reorder,1096.0
20664,TROPICAL HOLIDAY PURSE ,31,1.9375,91.45000000000002,52,4,14.0,22.0,Overstock,0.0
20665,RED RETROSPOT PURSE ,467,4.717171717171717,1368.0500000000002,67,14,33.0,99.0,Reorder,32.0
20665,RED SPOTTY PURSE ,698,5.67479674796748,2051.9,81,3,40.0,57.0,Healthy,0.0
20666,ECONOMY HOLIDAY PURSE,871,39.59090909090909,340.65000000000003,235,14,277.0,831.0,Reorder,596.0
20667,CHERRY BLOSSOM PURSE,21,2.3333333333333335,61.95,118,12,16.0,44.0,Overstock,0.0
20668,DISCO BALL CHRISTMAS DECORATION,20550,65.44585987261146,2292.04,191,14,458.0,1374.0,Reorder,1183.0
20669,RED HEART LUGGAGE TAG,627,4.543478260869565,781.47,233,3,32.0,46.0,Overstock,0.0
20670,VIP HOLIDAY PURSE,664,30.181818181818183,296.48,54,10,211.0,513.0,Reorder,459.0
20671,BLUE TEATIME PRINT BOWL ,731,6.89622641509434,900.07,246,4,48.0,76.0,Overstock,0.0
20672,PINK TEATIME PRINT BOWL,116,5.2727272727272725,145.0,120,14,37.0,111.0,Healthy,0.0
20673,STRAWBERRIES PRINT BOWL,5,2.5,6.25,150,12,18.0,48.0,Overstock,0.0
20674,GREEN POLKADOT BOWL,1599,8.550802139037433,1931.56,276,7,60.0,120.0,Overstock,0.0
20674,GREEN SPOTTY BOWL,1497,8.505681818181818,1816.53,24,14,60.0,179.0,Reorder,155.0
20675,BLUE POLKADOT BOWL,3116,11.20863309352518,3649.9700000000003,237,6,78.0,145.0,Healthy,0.0
20675,BLUE SPOTTY BOWL,2700,10.424710424710424,3197.16,274,10,73.0,177.0,Healthy,0.0
20676,RED RETROSPOT BOWL,5020,13.315649867374006,5827.1900000000005,226,4,93.0,146.0,Healthy,0.0
20676,RED SPOTTY BOWL,4383,12.667630057803468,5145.87,34,12,89.0,241.0,Reorder,207.0
20677,PINK POLKADOT BOWL,3563,12.679715302491104,4147.58,61,11,89.0,228.0,Reorder,167.0
20677,PINK SPOTTY BOWL,3325,12.314814814814815,3882.65,198,9,86.0,197.0,Healthy,0.0
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,4.0,6.6,82,9,28.0,64.0,Healthy,0.0
20679,EDWARDIAN PARASOL RED,6029,9.67736757624398,28557.920000000002,250,3,68.0,97.0,Overstock,0.0
20680,PINK FLOWERS CHILDS UMBRELLA,6,1.2,19.5,260,14,8.0,25.0,Overstock,0.0
20681,PINK POLKADOT CHILDRENS UMBRELLA,354,3.54,1144.5,71,4,25.0,39.0,Healthy,0.0
20681,PINK SPOTTY CHILDS UMBRELLA,949,5.392045454545454,2991.25,115,6,38.0,70.0,Healthy,0.0
20682,RED RETROSPOT CHILDRENS UMBRELLA,1462,5.47565543071161,4670.16,241,6,38.0,71.0,Overstock,0.0
20682,RED SPOTTY CHILDS UMBRELLA,1430,6.682242990654205,4464.5,250,13,47.0,134.0,Healthy,0.0
20683,RAIN GIRL CHILDS UMBRELLA,1,1.0,3.25,256,5,7.0,12.0,Overstock,0.0
20684,STRAWBERRY DREAM CHILDS UMBRELLA,560,3.5443037974683542,1781.0,162,9,25.0,57.0,Overstock,0.0
20685,DOOR MAT RED SPOT,2426,6.574525745257453,15093.48,190,14,46.0,138.0,Healthy,0.0
20685,DOORMAT RED RETROSPOT,4806,6.33201581027668,31864.2,48,10,44.0,107.0,Reorder,59.0
20685,DOORMAT RED SPOT,1035,5.53475935828877,7050.21,55,4,39.0,61.0,Reorder,6.0
20685,RED SPOTTY COIR DOORMAT,1097,6.689024390243903,6538.75,32,6,47.0,87.0,Reorder,55.0
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,561,3.50625,1817.63,179,5,25.0,43.0,Overstock,0.0
20688,BEAUTY SPEED EXPRESSO CUPS,462,51.333333333333336,306.9,206,4,359.0,564.0,Reorder,358.0
20689,RETRO SISTERS EXPRESSO CUPS,400,14.814814814814815,436.00000000000006,262,14,104.0,311.0,Reorder,49.0
20692,FLORAL ELEPHANT SOFT TOY,879,7.4491525423728815,3434.25,105,8,52.0,112.0,Reorder,7.0
20693,FLORAL DINOSAUR GREEN,26,2.1666666666666665,110.5,85,6,15.0,28.0,Overstock,0.0
20694,FLORAL PINK MONSTER,112,4.3076923076923075,408.48,189,8,30.0,64.0,Overstock,0.0
20695,FLORAL BLUE MONSTER,82,3.1538461538461537,332.0,64,4,22.0,35.0,Healthy,0.0
20696,FLORAL SOFT CAR TOY,123,3.6176470588235294,461.25,81,14,25.0,76.0,Healthy,0.0
20697,LITTLE GREEN MONSTER SOFT TOY,38,2.0,91.5,153,6,14.0,26.0,Overstock,0.0
20698,LITTLE PINK MONSTER SOFT TOY,43,2.263157894736842,104.25,47,13,16.0,45.0,Healthy,0.0
20699,MOUSEY LONG LEGS SOFT TOY,208,4.521739130434782,519.6,127,8,32.0,68.0,Healthy,0.0
20700,GREEN CAT FLORAL CUSHION COVER ,288,24.0,420.0,63,7,168.0,336.0,Reorder,273.0
20701,PINK CAT FLORAL CUSHION COVER ,282,21.692307692307693,397.5,147,5,152.0,260.0,Reorder,113.0
20702,PINK PADDED MOBILE,758,3.158333333333333,3178.0,250,10,22.0,54.0,Overstock,0.0
20703,BLUE PADDED SOFT MOBILE,459,2.7818181818181817,1938.25,209,9,19.0,44.0,Overstock,0.0
20704,MR ROBOT SOFT TOY,345,5.390625,1200.95,244,5,38.0,65.0,Overstock,0.0
20705,MRS ROBOT SOFT TOY,269,5.489795918367347,972.5500000000001,140,8,38.0,82.0,Healthy,0.0
20707,CRAZY DAISY HEART DECORATION,1279,19.984375,914.12,135,6,140.0,260.0,Reorder,125.0
20711,JUMBO BAG TOYS ,11326,16.80415430267062,20283.78,252,13,118.0,336.0,Reorder,84.0
20712,JUMBO BAG WOODLAND ANIMALS,15709,16.982702702702703,29105.5,278,7,119.0,238.0,Healthy,0.0
20713,JUMBO BAG OWLS,19463,20.95048439181916,35162.42,217,13,147.0,419.0,Reorder,202.0
20714,POSY SHOPPER BAG,1513,126.08333333333333,586.25,156,7,883.0,1766.0,Reorder,1610.0
20715,LITTLE FLOWER SHOPPER BAG,400,400.0,424.0,184,9,2800.0,6400.0,Reorder,6216.0
20716,PARTY FOOD SHOPPER BAG,1392,8.093023255813954,1705.8,244,13,57.0,162.0,Healthy,0.0
20717,STRAWBERRY SHOPPER BAG,5335,10.522682445759369,6353.53,253,7,74.0,148.0,Healthy,0.0
20718,RED RETROSPOT SHOPPER BAG,5596,11.85593220338983,6647.31,191,13,83.0,237.0,Reorder,46.0
20718,RED SPOTTY SHOPPER BAG,6659,16.68922305764411,7711.95,171,5,117.0,200.0,Reorder,29.0
20719,WOODLAND CHARLOTTE BAG,19027,17.782242990654204,15030.64,179,12,124.0,337.0,Reorder,158.0
20721,OWLS CHARLOTTE BAG,1,1.0,0.85,115,7,7.0,14.0,Overstock,0.0
20723,STRAWBERRY CHARLOTTE BAG,14542,14.600401606425702,11654.8,252,9,102.0,233.0,Healthy,0.0
20724,RED RETROSPOT CHARLOTTE BAG,15168,16.504896626768225,12034.8,199,7,116.0,232.0,Reorder,33.0
20724,RED SPOTTY CHARLOTTE BAG,10648,18.108843537414966,8468.4,132,7,127.0,254.0,Reorder,122.0
20725,LUNCH BAG RED RETROSPOT,20294,13.186484730344379,32137.5,71,11,92.0,237.0,Reorder,166.0
20725,LUNCH BAG RED SPOTTY,17456,16.314018691588785,27237.6,287,5,114.0,196.0,Healthy,0.0
20726,LUNCH BAG WOODLAND,20916,13.015556938394523,33004.76,132,8,91.0,195.0,Reorder,63.0
20727,LUNCH BAG  BLACK SKULL.,25392,12.416625916870416,39904.0,120,3,87.0,124.0,Reorder,4.0
20728,LUNCH BAG CARS BLUE,23304,12.804395604395605,36644.28,132,12,90.0,244.0,Reorder,112.0
20729,RED SPOTTY CANDY BAG,4626,69.04477611940298,1154.9,100,7,483.0,966.0,Reorder,866.0
20730,STRAWBERRY CANDY BAG,1659,40.46341463414634,524.25,206,10,283.0,688.0,Reorder,482.0
20731,POSY CANDY BAG,4100,89.1304347826087,1179.0,132,7,624.0,1248.0,Reorder,1116.0
20733,GOLD MINI TAPE MEASURE ,1546,15.156862745098039,1123.7,21,11,106.0,273.0,Reorder,252.0
20734,SILVER MINI TAPE MEASURE ,1379,20.279411764705884,1079.85,149,13,142.0,406.0,Reorder,257.0
20735,BLACK MINI TAPE MEASURE ,824,13.079365079365079,588.0,239,8,92.0,197.0,Healthy,0.0
20736,PINK MINI TAPE MEASURE ,286,15.88888888888889,230.1,73,10,111.0,270.0,Reorder,197.0
20738,GREEN MINI TAPE MEASURE ,1585,24.384615384615383,1270.55,243,12,171.0,464.0,Reorder,221.0
20747,PICCADILLY TEA SET,309,4.414285714285715,4212.55,244,10,31.0,75.0,Overstock,0.0
20748,KENSINGTON COFFEE SET,359,3.1491228070175437,3371.25,145,5,22.0,38.0,Overstock,0.0
20749,ASSORTED COLOUR MINI CASES,2972,4.07681755829904,21169.64,149,9,29.0,66.0,Overstock,0.0
20750, RED/WHITE DOT MINI CASES,478,3.414285714285714,3528.18,72,9,24.0,55.0,Healthy,0.0
20750,RED RETROSPOT MINI CASES,2021,4.201663201663202,14548.55,191,12,29.0,79.0,Overstock,0.0
20750,RED/WHITE DOT MINI CASES,1109,4.418326693227091,7859.75,237,14,31.0,93.0,Overstock,0.0
20751,FUNKY WASHING UP GLOVES ASSORTED,2736,6.3776223776223775,5652.120000000001,179,8,45.0,96.0,Healthy,0.0
20752,BLUE POLKADOT WASHING UP GLOVES,471,3.019230769230769,989.1000000000001,217,14,21.0,63.0,Overstock,0.0
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,846,7.421052631578948,1326.6000000000001,266,9,52.0,119.0,Overstock,0.0
20753,RETRO PINK SPOT WASHING UP GLOVES,187,4.921052631578948,391.1,222,4,34.0,54.0,Overstock,0.0
20754,RETRO RED SPOTTY WASHING UP GLOVES,3011,8.882005899705014,5747.46,203,11,62.0,160.0,Healthy,0.0
20754,RETROSPOT RED WASHING UP GLOVES,1804,5.228985507246377,3581.76,142,12,37.0,100.0,Healthy,0.0
20755,BLUE PAISLEY POCKET BOOK,5084,59.116279069767444,1031.0,274,12,414.0,1123.0,Reorder,849.0
20756,GREEN FERN POCKET BOOK,5679,129.0681818181818,816.7499999999999,299,3,903.0,1290.0,Reorder,991.0
20757,RED DAISY POCKET BOOK ,5301,94.66071428571429,856.23,117,3,663.0,947.0,Reorder,830.0
20758,ABSTRACT CIRCLES POCKET BOOK,5378,70.76315789473684,920.9,217,5,495.0,849.0,Reorder,632.0
20759,CHRYSANTHEMUM POCKET BOOK ,5734,130.3181818181818,863.5,259,5,912.0,1564.0,Reorder,1305.0
20760,GARDEN PATH POCKET BOOK,5484,91.4,1270.2,163,3,640.0,914.0,Reorder,751.0
20761,BLUE PAISLEY SKETCHBOOK,413,3.52991452991453,1207.37,116,14,25.0,74.0,Healthy,0.0
20762,GREEN FERN SKETCHBOOK ,416,3.7477477477477477,1171.71,220,9,26.0,60.0,Overstock,0.0
20763,DAISY SKETCHBOOK ,245,4.1525423728813555,606.86,143,6,29.0,54.0,Overstock,0.0
20764,ABSTRACT CIRCLES SKETCHBOOK ,597,4.117241379310345,1721.88,206,12,29.0,78.0,Overstock,0.0
20765,CHRYSANTHEMUM SKETCHBOOK ,405,3.347107438016529,1104.79,278,4,23.0,36.0,Overstock,0.0
20766,GARDEN PATH SKETCHBOOK,475,3.8,1345.98,167,12,27.0,73.0,Overstock,0.0
20767,BLUE PAISLEY JOURNAL ,750,5.0675675675675675,1546.52,271,7,35.0,70.0,Overstock,0.0
20768,GREEN FERN JOURNAL ,702,6.0,1357.81,166,8,42.0,90.0,Healthy,0.0
20769,DAISY JOURNAL ,403,6.5,708.47,167,11,46.0,118.0,Healthy,0.0
20770,ABSTRACT CIRCLE JOURNAL ,902,7.912280701754386,1831.2,218,6,55.0,102.0,Overstock,0.0
20771,CHRYSANTHEMUM  JOURNAL,551,4.919642857142857,1051.96,147,4,34.0,54.0,Overstock,0.0
20772,GARDEN PATH JOURNAL,926,7.068702290076335,1721.56,58,7,49.0,98.0,Reorder,40.0
20773,BLUE PAISLEY NOTEBOOK,3303,33.704081632653065,889.9499999999999,148,5,236.0,405.0,Reorder,257.0
20774,GREEN FERN NOTEBOOK,3419,44.4025974025974,841.3499999999999,286,4,311.0,489.0,Reorder,203.0
20775,DAISY NOTEBOOK ,3509,64.98148148148148,749.8499999999999,170,14,455.0,1365.0,Reorder,1195.0
20776,ABSTRACT CIRCLES NOTEBOOK,3187,59.01851851851852,698.55,118,3,413.0,590.0,Reorder,472.0
20777,CHRYSANTHEMUM NOTEBOOK,3525,37.10526315789474,1016.25,282,12,260.0,705.0,Reorder,423.0
20778,GARDEN PATH NOTEBOOK ,3595,44.382716049382715,891.75,271,4,311.0,489.0,Reorder,218.0
20780,BLACK EAR MUFF HEADPHONES,174,2.8524590163934427,857.6,163,8,20.0,43.0,Overstock,0.0
20781,GOLD EAR MUFF HEADPHONES,77,1.8780487804878048,373.17,131,10,13.0,32.0,Overstock,0.0
20782,CAMOUFLAGE EAR MUFF HEADPHONES,101,1.9803921568627452,556.25,79,5,14.0,24.0,Overstock,0.0
20783,HEART EAR MUFF HEADPHONES,130,3.823529411764706,658.26,21,13,27.0,77.0,Reorder,56.0
20784,RED RETRO BAR STOOL,26,3.25,970.7,273,11,23.0,59.0,Overstock,0.0
20785,FUSCHIA RETRO BAR STOOL,44,2.588235294117647,1657.8000000000002,159,14,18.0,54.0,Overstock,0.0
20786,BLACK RETRO BAR STOOL,22,2.4444444444444446,830.9000000000001,56,11,17.0,44.0,Healthy,0.0
20787,BLUE RETRO BAR STOOL,11,1.375,435.45000000000005,179,4,10.0,16.0,Overstock,0.0
20791,BLUE TILED SET OF 3 DRAWERS,5,5.0,63.75,28,10,35.0,85.0,Reorder,57.0
20793,BLUE TILED TRAY,273,18.2,402.75,252,12,127.0,345.0,Reorder,93.0
20794,BLUE  TILE HOOK,190,6.129032258064516,480.9,118,13,43.0,123.0,Reorder,5.0
20795,LARGE BLUE PROVENCAL CERAMIC BALL,116,6.823529411764706,228.84,166,14,48.0,144.0,Healthy,0.0
20796,SMALL BLUE PROVENCAL CERAMIC BALL,88,6.769230769230769,145.2,227,7,47.0,94.0,Overstock,0.0
20798,CLEAR MILKSHAKE GLASS,445,10.348837209302326,869.7,150,6,72.0,134.0,Healthy,0.0
20799,PINK MILKSHAKE GLASS,167,12.846153846153847,215.5,171,12,90.0,244.0,Reorder,73.0
20800,LARGE GLASS SUNDAE DISH CLEAR,996,498.0,258.2,73,7,3486.0,6972.0,Reorder,6899.0
20801,LARGE PINK GLASS SUNDAE DISH,902,12.356164383561644,845.86,139,6,86.0,160.0,Reorder,21.0
20802,SMALL GLASS SUNDAE DISH CLEAR,895,11.776315789473685,1137.9899999999998,180,10,82.0,200.0,Reorder,20.0
20803,SMALL PINK GLASS SUNDAE DISH,1091,17.885245901639344,680.91,135,6,125.0,232.0,Reorder,97.0
20804,GLASS CHICKEN BUTTER DISH,283,11.791666666666666,438.15,94,12,83.0,224.0,Reorder,130.0
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,5,1.6666666666666667,12.75,132,14,12.0,35.0,Overstock,0.0
20814,SILVER FINCH DECORATION,187,15.583333333333334,206.39000000000001,123,8,109.0,234.0,Reorder,111.0
20816,GOLD FLOWER CUSHION COVER ,24,3.4285714285714284,123.6,273,4,24.0,38.0,Overstock,0.0
20818,GOLD TEDDY BEAR,79,3.590909090909091,211.25,246,7,25.0,50.0,Overstock,0.0
20819,SILVER TEDDY BEAR,208,4.16,543.71,131,8,29.0,62.0,Overstock,0.0
20820,SILVER LOOKING MIRROR,11,1.375,54.45,118,7,10.0,20.0,Overstock,0.0
20821,GOLDIE LOOKING MIRROR,26,2.6,128.70000000000002,172,14,18.0,54.0,Overstock,0.0
20822,SILVER WINE GOBLET,2,2.0,9.3,213,4,14.0,22.0,Overstock,0.0
20823,GOLD WINE GOBLET,248,14.588235294117647,513.2,182,9,102.0,233.0,Reorder,51.0
20825,GOLD WINE GLASS,360,60.0,1229.04,227,6,420.0,780.0,Reorder,553.0
20826,SILVER APERITIF GLASS,355,25.357142857142858,290.72,188,10,178.0,432.0,Reorder,244.0
20827,GOLD APERITIF GLASS,173,21.625,209.36,180,9,151.0,346.0,Reorder,166.0
20828,GLITTER BUTTERFLY CLIPS,4220,8.178294573643411,9951.0,87,9,57.0,131.0,Reorder,44.0
20829,GLITTER HANGING BUTTERFLY STRING,4700,11.352657004830919,9350.390000000001,296,11,79.0,204.0,Healthy,0.0
20830,SILVER PHOTO FRAME,296,6.297872340425532,501.6,154,3,44.0,63.0,Overstock,0.0
20831,GOLD PHOTO FRAME,394,7.576923076923077,594.84,214,12,53.0,144.0,Healthy,0.0
20832,RED FLOCK LOVE HEART PHOTO FRAME,1576,15.153846153846153,994.0999999999999,147,8,106.0,227.0,Reorder,80.0
20833,SHAKER THROW  QUILTED,52,10.4,811.8,52,8,73.0,156.0,Reorder,104.0
20835,FRENCH LATTICE CUSHION COVER ,78,9.75,64.97999999999999,195,8,68.0,146.0,Healthy,0.0
20836,FRENCH PAISLEY CUSHION COVER,224,10.181818181818182,250.0,41,14,71.0,214.0,Reorder,173.0
